iter	MultiClass
0	1.765123463
1	1.63430312
2	1.515518793
3	1.415942598
4	1.327639548
5	1.254204948
6	1.187658845
7	1.126597913
8	1.074852349
9	1.027511588
10	0.9797927458
11	0.9419010045
12	0.9044021518
13	0.8711654592
14	0.839084098
15	0.8109446477
16	0.7842131776
17	0.7595656921
18	0.7378198306
19	0.7172541856
20	0.6977949549
21	0.6803140443
22	0.6637342658
23	0.6496877202
24	0.6356747421
25	0.620993706
26	0.6089801345
27	0.5965695655
28	0.5845607229
29	0.5739006714
30	0.564904195
31	0.5568165256
32	0.5474596429
33	0.5384128925
34	0.5300117572
35	0.523723135
36	0.5156416288
37	0.5080208829
38	0.5023260902
39	0.4956700458
40	0.4895407342
41	0.4845121777
42	0.4790237522
43	0.4732536455
44	0.468231097
45	0.4636024063
46	0.4597648808
47	0.4549420326
48	0.4510542332
49	0.4480530691
50	0.4442170166
51	0.4400944375
52	0.4367518603
53	0.4334562235
54	0.4306035555
55	0.426908363
56	0.4236916838
57	0.4213605158
58	0.4180301873
59	0.4151294548
60	0.4122976794
61	0.4091449958
62	0.4067530107
63	0.4042078394
64	0.4014347104
65	0.3996582225
66	0.398201635
67	0.3954809894
68	0.3935203059
69	0.3920861226
70	0.3902980837
71	0.3881452972
72	0.386534128
73	0.3848828016
74	0.3827699009
75	0.3804131502
76	0.3792693697
77	0.3780408561
78	0.3760319142
79	0.3744887331
80	0.3734876732
81	0.3719041023
82	0.3704528251
83	0.3686501731
84	0.3674990279
85	0.365429579
86	0.3640339249
87	0.3622291797
88	0.3606452212
89	0.3597982391
90	0.3583250616
91	0.3572246167
92	0.3560619592
93	0.3546993688
94	0.3531138211
95	0.3515693996
96	0.3504977159
97	0.3495288669
98	0.3485907173
99	0.3473274344
100	0.3461164411
101	0.345337292
102	0.344299641
103	0.3434403715
104	0.3427968883
105	0.3421704216
106	0.3412008362
107	0.3400595752
108	0.3392615104
109	0.3381780818
110	0.3374557186
111	0.3367048656
112	0.3359422289
113	0.3352468826
114	0.3338187462
115	0.3324733273
116	0.3319095382
117	0.3308701042
118	0.3301799908
119	0.3291583872
120	0.3285630848
121	0.3278729326
122	0.3271670819
123	0.3267549286
124	0.3260914832
125	0.3253705154
126	0.3247477504
127	0.3243377678
128	0.3238112288
129	0.3232330204
130	0.3227701086
131	0.321770638
132	0.3213545116
133	0.3209003601
134	0.3204273509
135	0.3200348499
136	0.3190280532
137	0.3184056759
138	0.3177598864
139	0.3173961078
140	0.3168604985
141	0.3164329181
142	0.3155599268
143	0.3150899993
144	0.3145585956
145	0.313975697
146	0.3134308624
147	0.3125848494
148	0.3118592108
149	0.3111863657
150	0.3105880593
151	0.309768191
152	0.3094509071
153	0.3090216017
154	0.3085222346
155	0.3077417676
156	0.3069560096
157	0.3063512495
158	0.3059556087
159	0.3056289832
160	0.3051143052
161	0.3048446206
162	0.3042594544
163	0.303802919
164	0.303275721
165	0.3026302804
166	0.302115273
167	0.3018953778
168	0.3014295202
169	0.3010831456
170	0.3007751063
171	0.3000572976
172	0.2992380495
173	0.2987895377
174	0.2980923502
175	0.2974490997
176	0.2971850743
177	0.296892811
178	0.2964772273
179	0.296131376
180	0.2956347222
181	0.2953340864
182	0.2949768585
183	0.2946080021
184	0.2943384144
185	0.2938816658
186	0.2931548256
187	0.2928941337
188	0.2925681477
189	0.2922544298
190	0.2919294904
191	0.2915624364
192	0.2911166186
193	0.2907191948
194	0.2901507156
195	0.2897758899
196	0.2894584702
197	0.2891127352
198	0.2887303122
199	0.2881841209
200	0.2878586195
201	0.2875123417
202	0.2873099281
203	0.2870722413
204	0.2866776471
205	0.286401625
206	0.2861864587
207	0.2858268469
208	0.2853521711
209	0.2849356959
210	0.2847079515
211	0.2844151649
212	0.2842055028
213	0.283911941
214	0.2835995022
215	0.2833979414
216	0.2830043937
217	0.2826644148
218	0.2822598588
219	0.28207545
220	0.28180437
221	0.2814804771
222	0.2813308763
223	0.2810171003
224	0.2808325752
225	0.2805932991
226	0.280253921
227	0.2800485808
228	0.2798970419
229	0.2796550913
230	0.2793616458
231	0.231	0.282853309
232	0.2825296938
233	0.282316967
234	0.2819911426
235	0.2817700827
236	0.2815227639
237	0.281272325
238	0.2810066539
239	0.2807882684
240	0.2806635044
241	0.2804787807
242	0.2801698357
243	0.2797496146
244	0.279453925
245	0.2792567017
246	0.2790539359
247	0.2786656132
248	0.2784058334
249	0.2782378148
250	0.2780234214
251	0.2777542039
252	0.2774920211
253	0.277159724
254	0.2767306272
255	0.2764965057
256	0.2762783527
257	0.2760575254
258	0.2757442781
259	0.2753409171
260	0.2751371629
261	0.2748889526
262	0.2745861508
263	0.274361874
264	0.2739198899
265	0.2736923961
266	0.2734006599
267	0.2730972186
268	0.2728126915
269	0.2725878526
270	0.2724146403
271	0.2722130954
272	0.2720049228
273	0.2717815568
274	0.2716501263
275	0.2715179012
276	0.2712577145
277	0.2709826057
278	0.2707747626
279	0.270543703
280	0.2702422577
281	0.2700402284
282	0.2697986652
283	0.2696039612
284	0.2693386584
285	0.2690799445
286	0.2689246968
287	0.2687903206
288	0.2685436413
289	0.2683039579
290	0.2681826046
291	0.2680024933
292	0.2677979446
293	0.2675967679
294	0.2674381676
295	0.2673304961
296	0.2671147074
297	0.2670057957
298	0.2667244274
299	0.266456954
300	0.2662558549
301	0.2657427487
302	0.2655397891
303	0.2653760533
304	0.2652083641
305	0.2649654056
306	0.2648497886
307	0.2646295427
308	0.2643806154
309	0.2642344178
310	0.2639749675
311	0.2637966197
312	0.2636834057
313	0.2635056198
314	0.2632385341
315	0.2630436557
316	0.2627284318
317	0.262481578
318	0.262333927
319	0.2620145753
320	0.2618809549
321	0.2616624143
322	0.2615022055
323	0.2612888393
324	0.2610556286
325	0.2609089465
326	0.2607559274
327	0.2605156821
328	0.2602389842
329	0.2600729616
330	0.2597691714
331	0.2596246599
332	0.2594091231
333	0.2592383332
334	0.2590868838
335	0.2589592904
336	0.258827356
337	0.2586230787
338	0.2584520756
339	0.2583251217
340	0.2582087295
341	0.2580426294
342	0.2579106756
343	0.2577548659
344	0.2574703776
345	0.2573939649
346	0.2571578279
347	0.2569638022
348	0.2567262893
349	0.2565277676
350	0.2563953875
351	0.2559249546
352	0.2557762959
354	0.2520161903
355	0.2519029286
356	0.2517077828
357	0.2515776403
358	0.2514561805
359	0.2514046274
360	0.2511894806
361	0.2510473026
362	0.2508586881
363	0.2507098432
364	0.2505120809
365	0.2502247404
366	0.2499002467
