iter	Passed	Remaining
0	164	154108
1	170	79810
2	176	55001
3	182	42539
4	188	35116
5	193	30133
6	199	26539
7	203	23655
8	206	21361
9	210	19534
10	213	18032
11	217	16759
12	220	15687
13	223	14770
14	227	13978
15	230	13273
16	233	12631
17	235	12052
18	238	11541
19	241	11082
20	244	10659
21	246	10277
22	249	9927
23	252	9606
24	255	9315
25	257	9044
26	260	8793
27	263	8556
28	266	8342
29	268	8136
30	271	7944
31	274	7759
32	276	7590
33	279	7429
34	282	7276
35	284	7132
36	287	6998
37	290	6869
38	292	6746
39	295	6628
40	298	6521
41	300	6417
42	303	6317
43	306	6222
44	308	6128
45	311	6034
46	313	5949
47	316	5869
48	319	5789
49	321	5711
50	324	5641
51	327	5574
52	329	5507
53	332	5440
54	335	5379
55	337	5319
56	340	5264
57	343	5210
58	346	5157
59	348	5106
60	351	5055
61	354	5005
62	356	4957
63	359	4910
64	362	4866
65	365	4825
66	368	4785
67	370	4743
68	373	4704
69	376	4663
70	378	4625
71	381	4587
72	383	4549
73	386	4513
74	389	4476
75	391	4440
76	394	4407
77	396	4372
78	399	4342
79	402	4311
80	404	4280
81	407	4250
82	409	4220
83	412	4191
84	415	4164
85	417	4139
86	420	4113
87	423	4087
88	425	4062
89	428	4037
90	431	4014
91	434	3991
92	436	3967
93	439	3946
94	442	3923
95	444	3900
96	447	3879
97	449	3856
98	452	3836
99	455	3815
100	458	3795
101	460	3774
102	463	3753
103	465	3734
104	468	3715
105	470	3694
106	473	3674
107	475	3656
108	478	3640
109	481	3623
110	484	3606
111	486	3589
112	489	3573
113	492	3556
114	494	3540
115	497	3524
116	500	3508
117	502	3491
118	504	3474
119	507	3458
120	510	3444
121	512	3431
122	515	3415
123	517	3400
124	520	3386
125	523	3372
126	525	3357
127	528	3343
128	531	3330
129	533	3316
130	536	3303
131	538	3290
132	541	3277
133	544	3264
134	546	3252
135	549	3241
136	552	3229
137	554	3216
138	557	3204
139	560	3193
140	562	3181
141	565	3169
142	568	3158
143	570	3146
144	573	3135
145	575	3124
146	578	3111
147	580	3101
148	583	3090
149	586	3079
150	588	3069
151	591	3060
152	594	3050
153	597	3041
154	599	3030
155	602	3021
156	605	3010
157	607	3000
158	610	2989
159	612	2979
160	615	2969
161	618	2960
162	620	2950
163	623	2940
164	625	2930
165	628	2920
166	630	2911
167	633	2901
168	635	2892
169	638	2883
170	640	2875
171	643	2865
172	646	2857
173	648	2848
174	651	2839
175	654	2831
176	656	2823
177	659	2814
178	661	2806
179	664	2798
180	666	2789
181	669	2781
182	672	2773
183	674	2764
184	677	2756
185	679	2748
186	682	2740
187	685	2733
188	687	2725
189	690	2716
190	692	2709
191	695	2702
192	698	2694
193	700	2687
194	703	2680
195	706	2673
196	708	2666
197	711	2658
198	714	2651
199	716	2644
200	719	2637
201	721	2629
202	724	2622
203	726	2615
204	729	2608
205	732	2601
206	734	2593
207	737	2586
208	739	2579
209	742	2572
210	744	2566
211	747	2558
212	749	2552
213	752	2545
214	755	2540
215	757	2533
216	760	2526
217	763	2520
218	765	2513
219	768	2507
220	770	2501
221	773	2494
222	776	2489
223	779	2483
224	781	2477
