id,NObeyesdad
20758,Obesity_Type_II
20759,Overweight_Level_I
20760,Obesity_Type_III
20761,Obesity_Type_I
20762,Obesity_Type_I
20763,Insufficient_Weight
20764,Insufficient_Weight
20765,Normal_Weight
20766,Overweight_Level_II
20767,Overweight_Level_I
20768,Overweight_Level_I
20769,Obesity_Type_III
20770,Obesity_Type_III
20771,Obesity_Type_II
20772,Obesity_Type_III
20773,Insufficient_Weight
20774,Overweight_Level_I
20775,Overweight_Level_I
20776,Obesity_Type_III
20777,Obesity_Type_I
20778,Overweight_Level_I
20779,Obesity_Type_III
20780,Obesity_Type_I
20781,Obesity_Type_II
20782,Overweight_Level_I
20783,Overweight_Level_I
20784,Obesity_Type_II
20785,Obesity_Type_I
20786,Normal_Weight
20787,Obesity_Type_I
20788,Overweight_Level_II
20789,Obesity_Type_III
20790,Overweight_Level_I
20791,Overweight_Level_II
20792,Overweight_Level_I
20793,Overweight_Level_I
20794,Obesity_Type_I
20795,Overweight_Level_II
20796,Overweight_Level_I
20797,Insufficient_Weight
20798,Insufficient_Weight
20799,Overweight_Level_I
20800,Obesity_Type_II
20801,Overweight_Level_I
20802,Overweight_Level_I
20803,Insufficient_Weight
20804,Overweight_Level_I
20805,Obesity_Type_II
20806,Obesity_Type_I
20807,Obesity_Type_II
20808,Obesity_Type_II
20809,Obesity_Type_III
20810,Obesity_Type_III
20811,Obesity_Type_III
20812,Obesity_Type_II
20813,Overweight_Level_I
20814,Insufficient_Weight
20815,Insufficient_Weight
20816,Insufficient_Weight
20817,Obesity_Type_III
20818,Overweight_Level_I
20819,Obesity_Type_II
20820,Obesity_Type_II
20821,Obesity_Type_II
20822,Overweight_Level_I
20823,Obesity_Type_II
20824,Obesity_Type_I
20825,Insufficient_Weight
20826,Obesity_Type_II
20827,Overweight_Level_II
20828,Obesity_Type_I
20829,Obesity_Type_III
20830,Obesity_Type_II
20831,Obesity_Type_III
20832,Obesity_Type_I
20833,Overweight_Level_II
20834,Obesity_Type_II
20835,Overweight_Level_II
20836,Obesity_Type_III
20837,Overweight_Level_II
20838,Obesity_Type_II
20839,Obesity_Type_II
20840,Overweight_Level_I
20841,Obesity_Type_I
20842,Overweight_Level_I
20843,Obesity_Type_III
20844,Overweight_Level_I
20845,Overweight_Level_II
20846,Overweight_Level_II
20847,Overweight_Level_II
20848,Overweight_Level_II
20849,Obesity_Type_I
20850,Overweight_Level_I
20851,Overweight_Level_II
20852,Obesity_Type_I
20853,Obesity_Type_III
20854,Overweight_Level_I
20855,Obesity_Type_II
20856,Insufficient_Weight
20857,Obesity_Type_I
20858,Obesity_Type_II
20859,Obesity_Type_III
20860,Overweight_Level_I
20861,Obesity_Type_I
20862,Overweight_Level_I
20863,Insufficient_Weight
20864,Obesity_Type_III
20865,Overweight_Level_I
20866,Insufficient_Weight
20867,Obesity_Type_II
20868,Overweight_Level_I
20869,Normal_Weight
20870,Obesity_Type_I
20871,Obesity_Type_III
20872,Obesity_Type_I
20873,Overweight_Level_I
20874,Obesity_Type_I
20875,Overweight_Level_II
20876,Obesity_Type_III
20877,Overweight_Level_I
20878,Obesity_Type_II
20879,Obesity_Type_III
20880,Insufficient_Weight
20881,Obesity_Type_II
20882,Insufficient_Weight
20883,Overweight_Level_II
20884,Obesity_Type_I
20885,Obesity_Type_III
20886,Overweight_Level_I
20887,Obesity_Type_I
20888,Obesity_Type_I
20889,Obesity_Type_III
20890,Obesity_Type_III
20891,Overweight_Level_II
20892,Overweight_Level_I
20893,Obesity_Type_I
20894,Obesity_Type_II
20895,Overweight_Level_I
20896,Insufficient_Weight
20897,Obesity_Type_III
20898,Obesity_Type_III
20899,Insufficient_Weight
20900,Overweight_Level_I
20901,Obesity_Type_II
20902,Obesity_Type_I
20903,Obesity_Type_III
20904,Obesity_Type_I
20905,Insufficient_Weight
20906,Overweight_Level_I
20907,Obesity_Type_II
20908,Insufficient_Weight
20909,Obesity_Type_I
20910,Obesity_Type_I
20911,Obesity_Type_III
20912,Obesity_Type_I
20913,Overweight_Level_I
20914,Overweight_Level_I
20915,Obesity_Type_II
20916,Overweight_Level_I
20917,Obesity_Type_I
20918,Obesity_Type_II
20919,Insufficient_Weight
20920,Overweight_Level_I
20921,Overweight_Level_II
20922,Overweight_Level_I
20923,Overweight_Level_I
20924,Insufficient_Weight
20925,Obesity_Type_III
20926,Obesity_Type_II
20927,Overweight_Level_I
20928,Obesity_Type_I
20929,Overweight_Level_I
20930,Obesity_Type_I
20931,Overweight_Level_I
20932,Obesity_Type_III
20933,Overweight_Level_II
20934,Obesity_Type_I
20935,Obesity_Type_I
20936,Overweight_Level_I
20937,Overweight_Level_I
20938,Obesity_Type_I
20939,Obesity_Type_I
20940,Normal_Weight
20941,Obesity_Type_I
20942,Obesity_Type_III
20943,Overweight_Level_I
20944,Obesity_Type_I
20945,Overweight_Level_II
20946,Obesity_Type_II
20947,Overweight_Level_II
20948,Obesity_Type_III
20949,Obesity_Type_I
20950,Overweight_Level_I
20951,Obesity_Type_I
20952,Overweight_Level_I
20953,Insufficient_Weight
20954,Overweight_Level_I
20955,Obesity_Type_I
20956,Obesity_Type_I
20957,Obesity_Type_II
20958,Obesity_Type_I
20959,Obesity_Type_I
20960,Obesity_Type_II
20961,Insufficient_Weight
20962,Overweight_Level_II
20963,Overweight_Level_I
20964,Obesity_Type_I
20965,Overweight_Level_II
20966,Obesity_Type_I
20967,Obesity_Type_I
20968,Obesity_Type_III
20969,Obesity_Type_I
20970,Overweight_Level_I
20971,Obesity_Type_III
20972,Obesity_Type_II
20973,Obesity_Type_I
20974,Obesity_Type_I
20975,Insufficient_Weight
20976,Obesity_Type_I
20977,Overweight_Level_I
20978,Obesity_Type_I
20979,Overweight_Level_II
20980,Overweight_Level_I
20981,Obesity_Type_I
20982,Obesity_Type_III
20983,Obesity_Type_I
20984,Obesity_Type_II
20985,Insufficient_Weight
20986,Insufficient_Weight
20987,Overweight_Level_II
20988,Overweight_Level_I
20989,Obesity_Type_III
20990,Obesity_Type_III
20991,Obesity_Type_I
20992,Obesity_Type_II
20993,Insufficient_Weight
20994,Overweight_Level_II
20995,Overweight_Level_II
20996,Overweight_Level_I
20997,Obesity_Type_II
20998,Overweight_Level_I
20999,Obesity_Type_I
21000,Overweight_Level_I
21001,Overweight_Level_I
21002,Obesity_Type_I
21003,Overweight_Level_I
21004,Normal_Weight
21005,Overweight_Level_II
21006,Overweight_Level_I
21007,Obesity_Type_III
21008,Overweight_Level_I
21009,Obesity_Type_II
21010,Obesity_Type_I
21011,Overweight_Level_II
21012,Overweight_Level_I
21013,Obesity_Type_II
21014,Overweight_Level_II
21015,Overweight_Level_II
21016,Obesity_Type_III
21017,Overweight_Level_I
21018,Obesity_Type_III
21019,Insufficient_Weight
21020,Obesity_Type_III
21021,Obesity_Type_III
21022,Insufficient_Weight
21023,Obesity_Type_I
21024,Insufficient_Weight
21025,Overweight_Level_II
21026,Obesity_Type_I
21027,Obesity_Type_II
21028,Obesity_Type_III
21029,Obesity_Type_III
21030,Obesity_Type_III
21031,Overweight_Level_I
21032,Obesity_Type_II
21033,Overweight_Level_I
21034,Overweight_Level_I
21035,Overweight_Level_I
21036,Overweight_Level_II
21037,Obesity_Type_I
21038,Obesity_Type_III
21039,Obesity_Type_III
21040,Insufficient_Weight
21041,Obesity_Type_I
21042,Overweight_Level_II
21043,Overweight_Level_I
21044,Obesity_Type_III
21045,Overweight_Level_II
21046,Obesity_Type_III
21047,Obesity_Type_II
21048,Overweight_Level_II
21049,Overweight_Level_II
21050,Obesity_Type_III
21051,Obesity_Type_I
21052,Insufficient_Weight
21053,Obesity_Type_I
21054,Overweight_Level_II
21055,Obesity_Type_II
21056,Obesity_Type_II
21057,Insufficient_Weight
21058,Normal_Weight
21059,Overweight_Level_I
21060,Normal_Weight
21061,Insufficient_Weight
21062,Overweight_Level_I
21063,Overweight_Level_II
21064,Obesity_Type_III
21065,Obesity_Type_II
21066,Obesity_Type_II
21067,Obesity_Type_III
21068,Overweight_Level_I
21069,Obesity_Type_I
21070,Overweight_Level_I
21071,Overweight_Level_I
21072,Overweight_Level_II
21073,Obesity_Type_I
21074,Overweight_Level_II
21075,Overweight_Level_II
21076,Insufficient_Weight
21077,Obesity_Type_I
21078,Obesity_Type_I
21079,Obesity_Type_II
21080,Obesity_Type_II
21081,Obesity_Type_I
21082,Obesity_Type_II
21083,Overweight_Level_I
21084,Obesity_Type_I
21085,Obesity_Type_III
21086,Obesity_Type_I
21087,Overweight_Level_I
21088,Obesity_Type_III
21089,Overweight_Level_I
21090,Obesity_Type_III
21091,Overweight_Level_I
21092,Obesity_Type_III
21093,Obesity_Type_II
21094,Obesity_Type_III
21095,Obesity_Type_III
21096,Obesity_Type_III
21097,Insufficient_Weight
21098,Obesity_Type_II
21099,Insufficient_Weight
21100,Normal_Weight
21101,Insufficient_Weight
21102,Overweight_Level_I
21103,Obesity_Type_III
21104,Normal_Weight
21105,Obesity_Type_III
21106,Obesity_Type_III
21107,Overweight_Level_I
21108,Obesity_Type_III
21109,Obesity_Type_I
