id,NObeyesdad
20758,Obesity_Type_I
20759,Overweight_Level_I
20760,Obesity_Type_I
20761,Overweight_Level_II
20762,Obesity_Type_I
20763,Overweight_Level_II
20764,Overweight_Level_I
20765,Obesity_Type_II
20766,Obesity_Type_II
20767,Overweight_Level_I
20768,Insufficient_Weight
20769,Obesity_Type_I
20770,Obesity_Type_I
20771,Obesity_Type_II
20772,Overweight_Level_II
20773,Overweight_Level_II
20774,Overweight_Level_I
20775,Obesity_Type_I
20776,Obesity_Type_I
20777,Obesity_Type_I
20778,Overweight_Level_I
20779,Obesity_Type_I
20780,Obesity_Type_I
20781,Obesity_Type_II
20782,Overweight_Level_I
20783,Obesity_Type_II
20784,Obesity_Type_I
20785,Overweight_Level_I
20786,Insufficient_Weight
20787,Obesity_Type_I
20788,Overweight_Level_I
20789,Obesity_Type_I
20790,Overweight_Level_I
20791,Overweight_Level_II
20792,Overweight_Level_I
20793,Overweight_Level_I
20794,Overweight_Level_II
20795,Overweight_Level_I
20796,Overweight_Level_I
20797,Overweight_Level_II
20798,Overweight_Level_II
20799,Obesity_Type_I
20800,Overweight_Level_II
20801,Obesity_Type_II
20802,Overweight_Level_I
20803,Insufficient_Weight
20804,Obesity_Type_II
20805,Obesity_Type_I
20806,Obesity_Type_II
20807,Overweight_Level_II
20808,Overweight_Level_I
20809,Obesity_Type_I
20810,Obesity_Type_I
20811,Obesity_Type_I
20812,Overweight_Level_II
20813,Overweight_Level_II
20814,Overweight_Level_I
20815,Overweight_Level_I
20816,Overweight_Level_II
20817,Obesity_Type_I
20818,Overweight_Level_I
20819,Obesity_Type_II
20820,Overweight_Level_II
20821,Overweight_Level_II
20822,Overweight_Level_II
20823,Obesity_Type_I
20824,Overweight_Level_I
20825,Overweight_Level_I
20826,Overweight_Level_I
20827,Overweight_Level_I
20828,Obesity_Type_I
20829,Obesity_Type_I
20830,Overweight_Level_II
20831,Obesity_Type_I
20832,Overweight_Level_I
20833,Obesity_Type_II
20834,Overweight_Level_II
20835,Overweight_Level_II
20836,Obesity_Type_I
20837,Overweight_Level_I
20838,Obesity_Type_I
20839,Obesity_Type_II
20840,Insufficient_Weight
20841,Overweight_Level_I
20842,Overweight_Level_II
20843,Obesity_Type_I
20844,Insufficient_Weight
20845,Insufficient_Weight
20846,Overweight_Level_I
20847,Overweight_Level_I
20848,Overweight_Level_I
20849,Overweight_Level_I
20850,Obesity_Type_II
20851,Overweight_Level_I
20852,Obesity_Type_I
20853,Obesity_Type_I
20854,Insufficient_Weight
20855,Overweight_Level_I
20856,Overweight_Level_II
20857,Obesity_Type_I
20858,Obesity_Type_II
20859,Obesity_Type_I
20860,Overweight_Level_I
20861,Overweight_Level_II
20862,Overweight_Level_I
20863,Overweight_Level_I
20864,Obesity_Type_I
20865,Overweight_Level_I
20866,Overweight_Level_I
20867,Obesity_Type_II
20868,Obesity_Type_II
20869,Overweight_Level_I
20870,Obesity_Type_II
20871,Obesity_Type_I
20872,Overweight_Level_II
20873,Overweight_Level_I
20874,Overweight_Level_I
